
---------- Begin Simulation Statistics ----------
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead            253176759     20.79%     84.57% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite           187903907     15.43%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total             1217935228                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                  1901755566                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   1.561459                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  198970      0.01%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                2105890      0.11%      0.12% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                 1956179      0.10%      0.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                 71825      0.00%      0.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%      0.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%      0.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult            643387629     33.83%     34.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc         262777443     13.82%     47.88% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv             730859087     38.43%     86.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc            238053112     12.52%     98.83% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt               324792      0.02%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     98.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     98.84% # attempts to use FU when none available
