
---------- Begin Simulation Statistics ----------
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead            364658821     26.02%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite           141609683     10.10%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total             1401385305                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                    18565720                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.013248                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 6128774     33.01%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      9      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     33.01% # attempts to use FU when none available
