
---------- Begin Simulation Statistics ----------
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead            300604826     27.01%     90.42% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite           106650115      9.58%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total             1113118117                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                    47926422                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.043056                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 6768185     14.12%     14.12% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult               10429610     21.76%     35.88% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                13752500     28.70%     64.58% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     64.58% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     64.58% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     64.58% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                17298      0.04%     64.61% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc             13644      0.03%     64.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                    11      0.00%     64.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                 3644      0.01%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     64.65% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     64.65% # attempts to use FU when none available
